"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9951","Upload Employee Profile Image","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","8489","Verify Reset Button Visible","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","23906","Intercept PIM Employee API","firefox","2026-06-01","passed","2026-06-01","API Mocking Tests","api\api.spec.js","",""
"","8991","Verify Quick Launch Widget Exists","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","8011","My Info Menu Visible","chromium","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","9267","Delete Employee","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","6207","Verify Dashboard Menu Visible","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","10047","Dashboard Menu Visible","webkit","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","4858","@sanity Username Field Visible","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","17575","Verify Assign Leave Menu Visible","firefox","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","10206","Verify Assign Leave Menu Visible","webkit","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","7705","Verify Vacancies Tab Visible","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","8283","Verify Dashboard Header Visible","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","9246","Verify PIM Page Load","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","16828","Delete Employee","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","15652","Verify Username Field Visible","firefox","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","9225","Verify Cancel Button Visible","webkit","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","8039","Verify Save Button Visible","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
"","9689","Upload Employee Profile Image","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","8340","Verify Last Name Field Visible","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
"","9268","Verify Cancel Button Visible","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","7777","Verify Vacancies Page","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","9849","Edit Employee Details","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","11628","Verify Add Employee Page Loaded","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","5538","@regression Invalid Username","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","8401","Verify Recruitment Menu Visible","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","8582","@sanity Password Field Visible","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","6221","@regression Invalid Password","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","7388","Verify My Actions Widget Exists","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","5467","Leave Menu Visible","chromium","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","7891","Verify Search Button Visible","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","12491","Verify Reset Button Enabled","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","8489","Verify Leave Page Loaded","firefox","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
